iter	Passed	Remaining
0	140	140758
1	142	71168
2	144	48010
3	146	36392
4	147	29424
5	149	24795
6	151	21523
7	153	19029
8	155	17095
9	156	15522
10	158	14231
11	159	13171
12	161	12262
13	163	11480
14	164	10811
15	166	10213
16	167	9687
17	168	9219
18	170	8793
19	172	8430
20	173	8100
21	175	7791
22	176	7506
23	178	7247
24	179	7006
25	181	6787
26	182	6580
27	184	6392
28	185	6227
29	187	6071
30	189	5919
31	191	5781
32	192	5652
33	194	5526
34	196	5409
35	198	5302
36	199	5189
37	201	5090
38	202	4990
39	204	4900
40	205	4812
41	207	4728
42	208	4649
43	210	4576
44	212	4517
45	214	4452
46	216	4388
47	218	4324
48	219	4264
49	221	4203
50	222	4146
51	224	4091
52	226	4046
53	227	3988
54	229	3935
55	230	3888
56	232	3840
57	233	3795
58	235	3754
59	237	3714
60	238	3674
61	240	3631
62	241	3590
63	242	3549
64	243	3509
65	245	3471
66	246	3434
67	247	3397
68	249	3362
69	250	3326
70	251	3292
71	252	3260
72	254	3237
73	256	3214
74	258	3190
75	260	3168
76	262	3146
77	264	3125
78	266	3104
79	268	3082
80	270	3063
81	271	3044
82	272	3012
83	274	2994
84	276	2975
85	278	2957
86	280	2940
87	282	2923
88	283	2906
89	285	2890
90	287	2873
91	289	2857
92	291	2842
93	293	2827
94	295	2812
95	297	2797
96	298	2782
97	300	2768
98	302	2754
99	304	2740
100	306	2726
101	308	2713
102	310	2700
103	312	2688
104	313	2676
105	315	2663
106	317	2651
107	319	2642
108	321	2631
109	323	2617
110	325	2604
111	326	2592
112	328	2579
113	330	2567
114	331	2553
115	333	2542
116	335	2532
117	337	2519
118	339	2509
119	340	2497
120	342	2489
121	344	2477
122	345	2466
123	347	2453
124	348	2442
125	350	2431
126	351	2418
127	353	2408
128	355	2398
129	356	2388
130	358	2378
131	360	2368
132	361	2357
133	363	2346
134	364	2336
135	366	2326
136	367	2315
137	370	2312
138	371	2302
139	373	2294
140	375	2284
141	376	2272
142	377	2261
143	379	2256
144	381	2246
145	382	2238
146	384	2231
147	386	2224
148	388	2216
149	389	2207
150	391	2199
151	392	2191
152	394	2183
153	395	2174
154	397	2167
155	399	2161
156	401	2155
157	403	2149
158	405	2143
159	407	2138
160	408	2127
161	410	2122
162	412	2116
163	414	2111
164	416	2105
165	417	2099
166	419	2093
167	421	2088
168	423	2082
169	425	2077
170	427	2072
171	429	2067
172	431	2061
173	433	2056
174	435	2050
175	436	2045
176	438	2040
177	440	2034
178	442	2029
179	444	2024
180	446	2019
181	452	2034
182	454	2029
183	456	2023
184	458	2018
185	460	2013
186	461	2008
187	463	2003
188	465	1998
189	467	1993
190	469	1988
191	471	1984
192	473	1979
193	475	1974
194	477	1969
195	479	1966
196	480	1960
197	482	1953
198	483	1948
199	485	1942
200	487	1936
201	489	1932
202	491	1927
203	492	1923
204	495	1920
205	496	1914
206	498	1909
207	500	1904
208	501	1898
209	503	1893
210	505	1888
211	506	1883
212	508	1879
213	510	1876
214	512	1872
215	514	1867
216	516	1863
217	518	1859
218	520	1854
219	522	1850
220	524	1847
221	526	1843
222	528	1839
223	529	1835
224	531	1832
225	533	1828
226	535	1824
227	537	1820
228	539	1817
229	541	1814
230	543	1810
231	545	1806
232	547	1803
233	549	1799
234	551	1796
235	553	1793
236	555	1789
237	557	1786
238	559	1782
239	561	1778
240	563	1775
241	565	1771
242	568	1769
243	570	1766
244	572	1763
245	574	1760
246	576	1757
247	578	1753
248	580	1750
249	582	1746
250	584	1744
251	586	1740
252	588	1737
253	590	1733
254	592	1730
255	594	1727
256	596	1723
257	597	1719
258	599	1716
259	601	1711
260	603	1707
261	604	1703
262	606	1699
263	608	1695
264	609	1690
265	611	1687
266	613	1684
267	615	1681
268	617	1678
269	619	1675
270	621	1672
271	623	1668
272	625	1665
273	627	1662
274	629	1659
275	631	1655
276	633	1652
277	635	1649
278	636	1646
279	638	1642
280	641	1640
281	643	1637
282	644	1634
283	646	1630
284	648	1627
285	650	1624
286	652	1620
287	654	1618
288	656	1615
289	658	1612
290	660	1609
291	662	1606
292	664	1603
293	666	1600
294	668	1597
295	670	1594
296	672	1591
297	674	1588
298	676	1585
299	678	1582
300	680	1579
301	682	1576
302	684	1573
303	686	1570
304	687	1567
305	689	1564
306	691	1561
307	693	1558
308	695	1555
309	697	1552
310	699	1550
311	701	1546
312	702	1542
313	705	1541
314	707	1537
315	708	1534
316	710	1530
317	711	1526
318	713	1522
319	714	1518
320	716	1514
321	717	1511
322	720	1509
323	721	1505
324	723	1502
325	724	1498
326	726	1495
327	728	1491
328	730	1488
329	731	1485
330	733	1482
331	735	1479
332	736	1476
333	738	1472
334	740	1469
335	741	1466
336	743	1463
337	745	1459
338	747	1457
339	749	1454
340	751	1452
341	753	1449
342	755	1446
343	757	1444
344	759	1441
345	761	1438
346	763	1436
347	765	1433
348	767	1430
349	768	1428
350	770	1425
351	772	1422
352	774	1419
353	776	1416
354	778	1414
355	780	1412
356	782	1409
357	784	1407
358	786	1404
359	788	1401
360	790	1399
361	792	1396
362	794	1394
363	796	1392
364	798	1389
365	800	1386
366	802	1384
367	804	1381
368	806	1379
369	808	1376
370	810	1374
371	812	1372
372	814	1369
373	817	1367
374	819	1365
375	821	1362
376	823	1360
377	825	1358
378	827	1355
379	829	1353
380	831	1350
381	833	1347
382	834	1345
383	837	1342
384	838	1339
385	840	1337
386	843	1335
387	844	1332
388	846	1329
389	847	1326
390	849	1322
391	850	1319
392	852	1316
393	855	1316
394	857	1313
395	859	1310
396	861	1307
397	862	1304
398	864	1302
399	866	1299
400	872	1303
401	874	1300
402	875	1297
403	877	1294
404	878	1291
405	880	1288
406	881	1284
407	882	1281
408	884	1278
409	886	1275
410	887	1272
411	889	1269
412	890	1266
413	892	1263
414	894	1260
415	896	1257
416	897	1254
417	899	1251
418	901	1250
419	903	1247
420	904	1244
421	906	1241
422	907	1238
423	909	1235
424	910	1232
425	912	1230
426	914	1227
427	916	1225
428	918	1222
429	920	1220
430	922	1217
431	924	1215
432	926	1212
433	928	1210
434	929	1207
435	931	1205
436	933	1202
437	935	1200
438	937	1197
439	939	1195
440	941	1192
441	943	1190
442	945	1188
443	946	1185
444	948	1183
445	950	1181
446	952	1178
447	954	1176
448	956	1173
449	958	1171
450	960	1168
451	962	1166
452	963	1163
453	965	1161
454	967	1159
455	969	1156
456	971	1154
457	973	1151
458	975	1149
459	977	1147
460	979	1144
461	980	1142
462	982	1139
463	984	1137
464	986	1135
465	988	1132
466	990	1130
467	992	1128
468	994	1125
469	996	1123
470	997	1120
471	999	1118
472	1001	1116
473	1003	1113
474	1006	1112
475	1008	1109
476	1009	1107
477	1011	1104
478	1013	1102
479	1015	1099
480	1016	1097
481	1018	1094
482	1020	1092
483	1022	1089
484	1023	1087
485	1026	1085
486	1027	1082
487	1030	1080
488	1031	1077
489	1034	1076
490	1035	1073
491	1037	1071
492	1039	1068
493	1040	1065
494	1042	1063
495	1044	1061
496	1045	1058
497	1047	1055
498	1049	1053
499	1050	1050
500	1052	1048
501	1053	1045
502	1055	1042
503	1056	1040
504	1058	1037
505	1060	1034
506	1061	1032
507	1063	1029
508	1064	1027
509	1066	1024
510	1067	1021
511	1070	1019
512	1071	1017
513	1073	1014
514	1074	1012
515	1076	1009
516	1077	1006
517	1079	1004
518	1080	1001
519	1082	999
520	1084	996
521	1086	994
522	1088	992
523	1089	990
524	1091	987
525	1093	985
526	1095	983
527	1097	981
528	1099	978
529	1101	976
530	1102	974
531	1104	971
532	1106	969
533	1108	967
534	1110	964
535	1112	962
536	1114	960
537	1115	958
538	1117	955
539	1119	953
540	1121	951
541	1123	949
542	1125	946
543	1127	944
544	1129	942
545	1130	940
546	1132	938
547	1134	935
548	1136	933
549	1138	931
550	1140	929
551	1142	926
552	1144	924
553	1145	922
554	1147	920
555	1149	918
556	1151	915
557	1153	913
558	1155	911
559	1157	909
560	1158	906
561	1160	904
562	1162	901
563	1163	899
564	1165	897
565	1167	894
566	1168	892
567	1170	889
568	1171	887
569	1173	885
570	1175	882
571	1176	880
572	1178	878
573	1180	875
574	1181	873
575	1183	871
576	1185	868
577	1186	866
578	1188	863
579	1189	861
580	1191	859
581	1193	856
582	1194	854
583	1196	852
584	1197	849
585	1199	847
586	1200	844
587	1202	842
588	1204	840
589	1206	838
590	1207	835
591	1210	834
592	1212	832
593	1214	830
594	1216	827
595	1217	825
596	1219	822
597	1220	820
598	1222	818
599	1224	816
600	1225	813
601	1227	811
602	1229	809
603	1230	806
604	1232	804
605	1233	802
606	1235	799
607	1236	797
608	1238	795
609	1240	793
610	1242	790
611	1243	788
612	1245	786
613	1246	783
614	1248	781
615	1249	779
616	1251	776
617	1252	774
618	1254	771
619	1255	769
620	1257	767
621	1258	765
622	1260	762
623	1261	760
624	1263	758
625	1265	755
626	1266	753
627	1268	751
628	1270	749
629	1272	747
630	1274	745
631	1277	743
632	1279	741
633	1281	739
634	1283	737
635	1285	735
636	1286	733
637	1289	731
638	1291	729
639	1293	727
640	1295	725
641	1297	723
642	1299	721
643	1301	719
644	1303	717
645	1305	715
646	1307	713
647	1309	711
648	1311	709
649	1313	707
650	1315	705
651	1319	704
652	1322	702
653	1324	700
654	1326	698
655	1328	696
656	1330	694
657	1332	692
658	1334	690
659	1336	688
660	1338	686
661	1340	684
662	1342	682
663	1344	680
664	1346	678
665	1348	676
666	1350	674
667	1351	671
668	1352	669
669	1354	667
670	1356	665
671	1358	662
672	1359	660
673	1361	658
674	1363	656
675	1364	654
676	1366	651
677	1368	649
678	1369	647
679	1371	645
680	1372	643
681	1374	640
682	1376	638
683	1378	636
684	1380	634
685	1382	632
686	1384	630
687	1386	628
688	1387	626
689	1389	624
690	1391	622
691	1393	620
692	1396	618
693	1398	616
694	1400	614
695	1402	612
696	1404	610
697	1406	608
698	1408	606
699	1411	604
700	1413	602
701	1415	600
702	1417	598
703	1419	596
704	1421	594
705	1423	592
706	1425	590
707	1427	588
708	1429	586
709	1431	584
710	1433	582
711	1435	580
712	1437	578
713	1439	576
714	1441	574
715	1443	572
716	1445	570
717	1447	568
718	1448	566
719	1450	564
720	1452	562
721	1454	560
722	1456	557
723	1457	555
724	1458	553
725	1460	551
726	1462	549
727	1463	546
728	1465	544
729	1466	542
730	1468	540
731	1470	538
732	1471	536
733	1472	533
734	1474	531
735	1475	529
736	1477	527
737	1478	524
738	1480	522
739	1481	520
740	1483	518
741	1484	516
742	1486	514
743	1487	511
744	1489	509
745	1491	507
746	1492	505
747	1494	503
748	1495	501
749	1497	499
750	1498	496
751	1500	494
752	1501	492
753	1503	490
754	1504	488
755	1506	486
756	1507	484
757	1509	481
758	1511	479
759	1513	477
760	1515	475
761	1517	473
762	1518	471
763	1520	469
764	1522	467
765	1524	465
766	1526	463
767	1528	461
768	1530	459
769	1531	457
770	1533	455
771	1535	453
772	1537	451
773	1539	449
774	1541	447
775	1543	445
776	1544	443
777	1546	441
778	1548	439
779	1550	437
780	1552	435
781	1554	433
782	1556	431
783	1558	429
784	1561	427
785	1563	425
786	1565	423
787	1566	421
788	1568	419
789	1570	417
790	1573	415
791	1575	413
792	1577	411
793	1579	409
794	1581	407
795	1583	405
796	1585	403
797	1587	401
798	1590	400
799	1592	398
800	1594	396
801	1596	394
802	1598	392
803	1600	390
804	1602	388
805	1604	386
806	1606	384
807	1608	382
808	1611	380
809	1612	378
810	1614	376
811	1616	374
812	1617	372
813	1619	369
814	1620	367
815	1622	365
816	1624	363
817	1625	361
818	1627	359
819	1628	357
820	1630	355
821	1631	353
822	1633	351
823	1635	349
824	1636	347
825	1638	345
826	1640	343
827	1641	341
828	1643	338
829	1644	336
830	1646	334
831	1649	332
832	1651	331
833	1653	329
834	1655	327
835	1657	325
836	1659	323
837	1660	321
838	1662	319
839	1665	317
840	1667	315
841	1669	313
842	1671	311
843	1673	309
844	1675	307
845	1677	305
846	1680	303
847	1683	301
848	1685	299
849	1687	297
850	1689	295
851	1691	293
852	1693	291
853	1696	289
854	1698	288
855	1700	286
856	1702	284
857	1704	282
858	1706	280
859	1708	278
860	1710	276
861	1712	274
862	1714	272
863	1716	270
864	1718	268
865	1720	266
866	1722	264
867	1723	262
868	1725	260
869	1727	258
870	1728	256
871	1730	254
872	1731	251
873	1733	249
874	1735	247
875	1736	245
876	1738	243
877	1739	241
878	1740	239
879	1742	237
880	1744	235
881	1745	233
882	1747	231
883	1749	229
884	1751	227
885	1753	225
886	1755	223
887	1757	221
888	1758	219
889	1760	217
890	1762	215
891	1764	213
892	1766	211
893	1768	209
894	1770	207
895	1772	205
896	1773	203
897	1775	201
898	1777	199
899	1779	197
900	1781	195
901	1783	193
902	1785	191
903	1786	189
904	1788	187
905	1790	185
906	1792	183
907	1794	181
908	1796	179
909	1798	177
910	1799	175
911	1801	173
912	1803	171
913	1805	169
914	1807	167
915	1809	165
916	1811	163
917	1813	161
918	1815	159
919	1817	158
920	1819	156
921	1821	154
922	1822	152
923	1824	150
924	1826	148
925	1828	146
926	1831	144
927	1832	142
928	1833	140
929	1835	138
930	1836	136
931	1838	134
932	1839	132
933	1841	130
934	1842	128
935	1844	126
936	1846	124
937	1847	122
938	1849	120
939	1851	118
940	1852	116
941	1853	114
942	1855	112
943	1857	110
944	1859	108
945	1861	106
946	1862	104
947	1864	102
948	1866	100
949	1870	98
950	1871	96
951	1873	94
952	1875	92
953	1877	90
954	1879	88
955	1881	86
956	1884	84
957	1886	82
958	1888	80
959	1890	78
960	1892	76
961	1893	74
962	1895	72
963	1898	70
964	1900	68
965	1902	66
966	1904	64
967	1906	63
968	1908	61
969	1909	59
970	1911	57
971	1913	55
972	1915	53
973	1917	51
974	1919	49
975	1921	47
976	1923	45
977	1925	43
978	1927	41
979	1929	39
980	1931	37
981	1933	35
982	1935	33
983	1937	31
984	1939	29
985	1940	27
986	1942	25
987	1943	23
988	1945	21
989	1947	19
990	1948	17
991	1949	15
992	1950	13
993	1952	11
994	1954	9
995	1955	7
996	1957	5
997	1958	3
998	1960	1
999	1962	0
