iter	Passed	Remaining
0	2	233
1	5	264
2	7	232
3	8	207
4	10	194
5	11	186
6	13	180
7	15	179
8	17	181
9	19	177
10	21	173
11	23	168
12	24	165
13	26	161
14	28	159
15	30	158
16	32	156
17	33	154
18	35	151
19	37	149
20	39	146
21	40	144
22	42	143
23	44	141
24	47	141
25	49	139
26	50	137
27	52	135
28	54	132
29	56	131
30	58	129
31	59	127
32	62	126
33	63	123
34	65	122
35	67	119
36	69	117
37	71	117
38	73	114
39	75	112
40	77	110
41	77	107
42	79	105
43	81	103
44	83	101
45	85	99
46	87	98
47	88	96
48	91	95
49	93	93
50	95	91
51	96	89
52	98	87
53	100	85
54	101	83
55	103	81
56	105	79
57	107	77
58	109	76
59	111	74
60	112	72
61	114	70
62	116	68
63	118	66
64	120	65
65	122	63
66	124	61
67	126	59
68	127	57
69	129	55
70	131	53
71	133	51
72	134	49
73	136	48
74	138	46
75	140	44
76	141	42
77	143	40
78	145	38
79	146	36
80	148	34
81	150	33
82	152	31
83	153	29
84	155	27
85	157	25
86	159	23
87	161	21
88	162	20
89	164	18
90	166	16
91	168	14
92	169	12
93	171	10
94	173	9
95	175	7
96	177	5
97	178	3
98	180	1
99	182	0
